System;name;L;a;b;R;G;B;hex
Pantone;1788C;53;74;47;240;34;51;#F02233
Pantone;179C;52;65;51;226;56;40;#E23828
Pantone;1795C;47;68;45;216;31;42;#D81F2A
Pantone;1797C;46;65;38;208;36;51;#D02433
Pantone;180C;45;55;40;192;54;44;#C0362C
Pantone;1805C;40;56;34;176;35;42;#B0232A
Pantone;1807C;37;50;27;161;40;48;#A12830
Pantone;181C;29;36;25;121;39;32;#792720
Pantone;1815C;28;41;30;124;33;30;#7C211E
Pantone;1817C;24;26;12;94;39;40;#5E2728
Pantone;182C;81;26;0;248;184;203;#F8B8CB
Pantone;183C;72;45;5;252;141;169;#FC8DA9
Pantone;184C;62;62;15;248;93;129;#F85D7E
Pantone;185C;50;76;42;234;4;55;#EA0437
Pantone;186C;45;69;37;210;16;52;#D21034
Pantone;187C;40;59;28;179;27;52;#B31B34
Pantone;188C;29;40;15;124;34;48;#7C2230
Pantone;189C;76;36;-1;248;161;190;#F8A1BE
Pantone;1895C;82;23;-4;243;188;212;#F3BCD4
Pantone;190C;67;53;4;248;119;158;#F8779E
Pantone;1905C;74;38;-3;245;155;189;#F59BBD
Pantone;191C;56;70;15;242;63;114;#F23F72
Pantone;1915C;60;64;5;242;85;138;#F2558A
Pantone;192C;50;76;31;233;6;73;#E90649
Pantone;1925C;49;76;25;228;0;80;#E40050
Pantone;193C;42;66;26;195;12;62;#C30C3E
Pantone;1935C;44;69;23;203;4;71;#CB0447
Pantone;194C;35;52;16;156;30;61;#9C1E3D
Pantone;1945C;37;59;18;170;17;63;#AA113F
Pantone;1955C;33;51;13;147;23;59;#93173B
Pantone;196C;84;15;-1;235;198;211;#EBC6D3
Pantone;197C;73;33;1;235;155;178;#EB9BB2
Pantone;198C;56;61;15;228;77;11;#E44D6F
Pantone;199C;47;72;32;219;12;65;#DB0C41
Pantone;200C;42;66;31;193;4;53;#C10435
Pantone;201C;35;53;22;158;27;52;#9E1B34
Pantone;202C;31;45;16;137;32;52;#892034
Pantone;203C;77;27;-7;235;173;205;#EBADCD
Pantone;204C;65;47;-6;232;123;172;#E87BAC
Pantone;205C;55;65;1;227;69;133;#E34585
Pantone;206C;45;75;22;215;0;77;#D7004D
Pantone;207C;38;63;17;177;0;66;#B10042
Pantone;208C;33;48;6;144;33;71;#902147
Pantone;209C;29;37;3;117;38;65;#752641
Pantone;210C;76;39;-8;250;159;204;#FA9FCC
Pantone;211C;69;53;-8;249;125;184;#F97DB8
