System;name;L;a;b;R;G;B;hex
Pantone;438C;28;9;3;81;62;62;#513E3E
Pantone;439C;24;7;3;68;53;53;#443535
Pantone;440C;20;5;3;57;46;44;#392E2C
Pantone;441C;84;-2;-2;203;209;212;#CBD1D4
Pantone;442C;76;-3;-3;179;188;192;#B3BCC0
Pantone;443C;66;-3;-3;153;163;166;#99A3A6
Pantone;444C;55;-3;-4;123;133;138;#7B858A
Pantone;445C;36;-2;-3;79;85;89;#4F5559
Pantone;446C;27;-2;-1;61;66;66;#3D4242
Pantone;447C;22;-2;2;50;53;50;#323532
Pantone;448C;27;1;16;71;62;38;#473E26
Pantone;4485C;32;6;31;93;71;24;#5D4718
Pantone;449C;29;1;20;77;67;37;#4D4325
Pantone;4495C;47;3;39;131;110;44;#836E2C
Pantone;450C;31;0;22;81;72;38;#514826
Pantone;4505C;58;1;37;155;137;72;#9B8948
Pantone;451C;64;-3;21;159;155;116;#9F9B74
Pantone;4515C;68;0;30;181;165;112;#B5A570
Pantone;452C;72;-3;17;181;178;146;#B5B292
Pantone;4525C;76;-1;24;197;186;142;#C5BA8E
Pantone;453C;79;-2;13;200;197;172;#C8C5AC
Pantone;4535C;82;-1;18;212;204;170;#D4CCAA
Pantone;454C;84;-2;10;213;211;191;#D5D3BF
Pantone;4545C;87;-1;12;222;217;194;#DED9C2
Pantone;455C;36;2;37;101;84;21;#655415
Pantone;456C;54;2;57;151;127;9;#977F09
Pantone;457C;62;4;68;178;146;0;#B29200
Pantone;458C;81;-3;51;219;202;103;#DBCA67
Pantone;459C;84;-4;44;223;210;124;#DFD27C
Pantone;460C;87;-4;35;229;219;151;#E5DB97
Pantone;461C;90;-4;23;231;227;181;#E7E3B5
Pantone;462C;29;8;21;86;63;35;#563F23
Pantone;4625C;20;18;20;78;38;20;#4E2614
Pantone;463C;35;13;30;109;73;33;#6D4921
Pantone;4635C;44;20;32;144;90;51;#905A33
Pantone;464C;42;16;37;133;87;35;#855723
Pantone;4645C;58;17;27;177;127;92;#B17F5C
Pantone;465C;66;6;30;185;156;107;#B99C6B
Pantone;4655C;65;14;22;192;148;119;#C09477
Pantone;466C;74;4;25;202;179;136;#CAB388
Pantone;4665C;74;11;17;209;174;151;#D1AE97
Pantone;467C;80;2;20;213;196;161;#D5C4A1
Pantone;4675C;80;8;13;221;194;176;#DDC2B0
Pantone;468C;85;1;14;224;212;187;#E0D4BB
Pantone;4685C;85;5;9;228;210;197;#E4D2C5
Pantone;469C;27;19;26;97;52;24;#613418
Pantone;4695C;22;20;14;83;40;33;#532821
Pantone;470C;42;31;43;155;77;27;#9B4D1B
Pantone;4705C;38;21;18;127;76;62;#7F4C3E
Pantone;471C;48;39;53;183;83;18;#B75312
Pantone;4715C;51;17;16;155;110;95;#9B6E5F
Pantone;472C;70;25;37;228;153;105;#E49969
Pantone;4725C;62;13;13;178;141;127;#B28D7F
Pantone;473C;79;16;25;237;185;150;#EDB996
Pantone;4735C;72;9;9;197;170;160;#C5AAA0
Pantone;474C;83;12;20;238;197;169;#EEC5A9
Pantone;4745C;79;7;7;212;190;182;#D4BEB6
Pantone;475C;86;9;15;240;208;187;#F0D0BB
Pantone;4755C;84;5;5;221;205;199;#DDCDC7
Pantone;476C;24;14;13;81;49;39;#513127
Pantone;477C;25;21;17;94;47;36;#5E2F24
Pantone;478C;31;26;21;114;54;41;#723629
Pantone;479C;58;16;18;173;128;108;#AD806C
Pantone;480C;72;10;12;200;169;154;#C8A99A
Pantone;481C;78;7;10;213;189;176;#D5BDB0
Pantone;482C;84;4;7;221;206;196;#DDCEC4
Pantone;483C;27;27;21;106;46;34;#6A2E22
Pantone;484C;37;47;36;159;45;32;#9F2D20
Pantone;485C;49;68;52;220;36;31;#DC241F
Pantone;486C;70;33;23;236;147;132;#EC9384
Pantone;487C;76;23;17;236;171;157;#ECAB9D
Pantone;488C;80;17;13;236;187;175;#ECBBAF
Pantone;489C;85;10;9;235;205;195;#EBCDC3
Pantone;490C;23;24;10;90;39;42;#5A272A
Pantone;491C;29;34;16;119;43;47;#772B2F
Pantone;492C;36;40;18;145;53;59;#91353B
Pantone;494C;75;26;2;231;167;182;#E7A7B6
Pantone;495C;80;21;1;237;184;197;#EDB8C5
Pantone;496C;83;17;1;239;196;206;#EFC4CE
Pantone;497C;22;17;9;78;42;40;#4E2A28
Pantone;4975C;17;19;8;68;30;31;#441E1F
Pantone;498C;28;24;14;104;50;46;#68322E
Pantone;4985C;39;26;8;133;74;80;#854A50
Pantone;499C;32;27;18;118;57;49;#763931
Pantone;4995C;51;24;5;161;105;113;#A16971
Pantone;500C;63;27;5;200;134;145;#C88691
Pantone;5005C;60;21;4;183;132;140;#B7848C
Pantone;501C;75;20;2;222;172;183;#DEACB7
Pantone;5015C;73;16;2;209;169;176;#D1A9B0
Pantone;502C;81;15;1;229;191;199;#E5BFC7
Pantone;5025C;79;12;2;219;188;193;#DBBCC1
Pantone;503C;85;11;1;233;204;210;#E9CCD2
Pantone;5035C;84;9;1;227;203;208;#E3CBD0
Pantone;504C;20;23;5;78;32;41;#4E2029
Pantone;505C;27;34;6;110;38;57;#6E2639
Pantone;506C;31;38;6;126;43;66;#7E2B42
Pantone;507C;66;30;-2;211;141;166;#D38DA6
Pantone;508C;76;23;-2;226;171;191;#E2ABBF
Pantone;509C;80;19;-2;231;185;202;#E7B9CA
Pantone;510C;82;16;-2;233;194;209;#E9C2D1
Pantone;511C;25;32;-12;96;36;78;#60244E
Pantone;5115C;21;21;-8;75;37;62;#4B253E
Pantone;512C;31;46;-24;126;34;113;#7E2271
Pantone;5125C;35;25;-12;112;65;101;#704165
Pantone;513C;38;54;-33;149;40;143;#95288F
Pantone;5135C;45;22;-12;136;94;128;#885E80
Pantone;514C;65;38;-22;211;133;200;#D385C8
Pantone;5145C;57;18;-10;161;126;154;#A17E9A
Pantone;515C;75;28;-16;223;165;214;#DFA5D6
Pantone;5155C;71;13;-8;192;166;189;#C0A6BD
Pantone;516C;80;21;-12;231;186;223;#E7BADF
Pantone;5165C;81;8;-5;214;197;211;#D6C5D3
Pantone;517C;85;15;-8;235;202;227;#EBCAE3
Pantone;5175C;86;5;-3;225;213;222;#E0D5DE
Pantone;518C;22;19;-11;75;42;70;#4B2A46
Pantone;5185C;21;16;-6;69;41;59;#45293B
Pantone;519C;26;27;-21;90;45;95;#5A2D5F
Pantone;5195C;29;19;-7;94;58;81;#5E3A51
Pantone;520C;30;34;-28;104;47;115;#682F73
Pantone;5205C;48;17;-6;139;104;125;#8B687D
Pantone;521C;61;23;-22;173;133;186;#AD85BA
Pantone;5215C;65;13;-5;177;149;166;#B195A6
Pantone;522C;69;18;-18;189;158;202;#BD9ECA
Pantone;5225C;74;10;-4;198;176;190;#C6B0BE
Pantone;523C;76;14;-14;203;178;213;#CBB2D5
Pantone;5235C;81;7;-3;212;196;206;#D4C4CE
Pantone;524C;84;8;-9;218;204;225;#DACCE1
Pantone;5245C;86;5;-2;223;212;219;#DFD4DB
Pantone;525C;23;27;-23;81;38;90;#51265A
Pantone;5255C;17;11;-23;42;37;75;#2A254B
Pantone;526C;27;41;-41;97;32;127;#61207F
Pantone;5265C;27;12;-25;67;59;103;#433B67
Pantone;527C;31;50;-54;110;32;160;#6E20A0
Pantone;5275C;37;10;-24;87;82;126;#57527E
Pantone;528C;57;33;-39;167;116;205;#A774CD
Pantone;5285C;55;7;-18;133;129;164;#8581A4
Pantone;529C;72;21;-26;198;164;225;#C6A4E1
Pantone;5295C;69;5;-13;170;167;193;#AAA7C1
Pantone;530C;76;18;-21;207;177;227;#CFB1E3
Pantone;5305C;78;4;-9;193;190;209;#C1BED1
Pantone;531C;82;12;-15;215;196;231;#D7C4E7
Pantone;5315C;85;2;-6;212;212;224;#D4D4E0
Pantone;532C;17;1;-10;38;42;57;#262A39
Pantone;533C;21;3;-23;37;51;85;#253355
Pantone;534C;27;4;-31;41;63;111;#293F6F
Pantone;535C;66;1;-19;149;161;195;#95A1C3
Pantone;536C;72;0;-16;164;177;205;#A4B1CD
Pantone;537C;80;0;-11;189;198;218;#BDC6DA
Pantone;538C;86;0;-7;210;215;228;#D2D7E4
Pantone;539C;15;-8;-23;0;42;70;#002A46
Pantone;5395C;13;-6;-17;2;37;58;#02253A
Pantone;540C;17;-6;-35;0;47;93;#002F5D
Pantone;5405C;40;-8;-19;62;100;126;#3E647E
Pantone;541C;23;-6;-44;0;60;121;#003C79
Pantone;5415C;49;-7;-18;88;121;147;#587993
Pantone;542C;60;-10;-32;89;152;201;#5998C9
Pantone;5425C;61;-6;-15;124;152;174;#7C98AE
Pantone;543C;73;-7;-22;147;185;220;#93B9DC
Pantone;5435C;74;-4;-11;165;184;201;#A5B8C9
Pantone;544C;80;-5;-16;177;203;229;#B1CBE5
Pantone;5445C;80;-3;-8;188;202;214;#BCCAD6
Pantone;545C;84;-4;-12;191;211;230;#BFD3E6
Pantone;5455C;85;-2;-6;204;214;224;#CCD6E0
Pantone;546C;19;-14;-13;0;52;64;#003440
Pantone;5463C;13;-14;-10;0;40;48;#002830
Pantone;5467C;20;-12;-2;24;53;51;#183533
Pantone;547C;22;-20;-19;0;62;81;#003E51
Pantone;5473C;37;-23;-14;0;98;110;#00626E
Pantone;5477C;36;-12;-3;60;91;89;#3C5B59
Pantone;548C;23;-23;-23;0;65;89;#004159
Pantone;5483C;55;-19;-12;79;141;151;#4F8D97
Pantone;5487C;50;-10;-3;98;125;124;#627D7C
Pantone;549C;59;-15;-20;91;151;177;#5B97B1
Pantone;5493C;68;-14;-9;129;173;181;#81ADB5
Pantone;5497C;64;-7;-2;141;160;159;#8DA09F
Pantone;550C;69;-11;-16;133;176;198;#85B0C6
Pantone;5503C;76;-11;-7;161;195;201;#A1C3C9
Pantone;5507C;74;-5;-2;170;184;185;#AAB8B9
Pantone;551C;76;-9;-13;159;193;211;#9FC1D3
Pantone;5513C;84;-7;-5;190;213;217;#BED5D9
Pantone;5517C;81;-4;-2;191;203;204;#BFCBCC
Pantone;552C;82;-6;-9;185;208;220;#B9D0DC
Pantone;5523C;87;-5;-3;207;222;225;#CFDEE1
Pantone;5527C;84;-3;-1;204;212;212;#CCD4D4
Pantone;553C;25;-16;6;33;66;50;#214232
Pantone;5535C;22;-14;2;27;57;48;#1B3930
Pantone;554C;36;-25;7;36;96;74;#24604A
Pantone;5545C;43;-15;2;74;109;98;#4A6D62
Pantone;555C;39;-31;8;19;105;78;#13694E
Pantone;5555C;56;-13;2;110;141;130;#6E8D82
Pantone;556C;63;-19;5;116;161;142;#74A18E
Pantone;5565C;67;-10;1;143;168;160;#8FA8A0
Pantone;557C;73;-14;3;152;186;172;#98BAAC
Pantone;5575C;75;-8;1;169;189;182;#A9BDB6
Pantone;558C;78;-11;2;172;199;189;#ACC7BD
Pantone;5585C;82;-6;0;192;207;203;#C0CFCB
Pantone;559C;83;-8;1;192;212;205;#C0D4CD
Pantone;5595C;87;-4;0;211;222;219;#D3DEDB
Pantone;560C;27;-16;1;34;72;63;#22483F
Pantone;5605C;18;-12;4;25;48;37;#193025
Pantone;561C;37;-26;-2;15;98;89;#0F6259
Pantone;5615C;45;-11;6;90;112;96;#5A7060
Pantone;562C;44;-31;-5;0;119;112;#007770
Pantone;5625C;52;-10;5;108;128;114;#6C8072
Pantone;563C;70;-24;-5;114;184;180;#72B8B4
Pantone;5635C;67;-7;4;151;166;155;#97A69B
Pantone;564C;78;-18;-4;152;204;201;#98CCC9
Pantone;5645C;75;-5;2;177;188;181;#B1BCB5
Pantone;565C;85;-12;-3;185;220;218;#B9DCDA
Pantone;5655C;79;-4;2;189;197;191;#BDC5BF
Pantone;566C;89;-8;-2;205;227;226;#CDE3E2
Pantone;5665C;84;-3;2;205;211;205;#CDD3CD
Pantone;567C;26;-18;1;24;69;59;#18453B
Pantone;569C;48;-41;-4;0;132;120;#008478
Pantone;570C;75;-27;-4;118;193;190;#76C6BE
Pantone;571C;82;-20;-3;157;214;207;#9DD6CF
Pantone;572C;85;-15;-3;180;222;219;#B4DEDB
Pantone;573C;87;-12;-2;193;226;222;#C1E2DE
Pantone;574C;31;-12;23;64;79;36;#404F24
Pantone;5743C;29;-9;20;62;71;35;#3E4723
Pantone;5747C;28;-8;27;64;70;22;#404616
Pantone;575C;45;-20;34;86;115;46;#56732E
Pantone;5753C;42;-9;24;94;102;57;#5E6639
Pantone;5757C;47;-9;37;111;115;45;#6F732D
Pantone;576C;55;-25;38;102;142;60;#668E3C
Pantone;5763C;48;-9;24;110;118;73;#6E7649
Pantone;5767C;59;-9;34;141;145;80;#8D9150
Pantone;577C;78;-15;25;178;200;145;#B2C891
Pantone;5773C;62;-7;20;147;152;113;#939871
Pantone;5777C;69;-8;28;167;171;116;#A7AB74
Pantone;578C;81;-13;22;189;208;160;#BDD0A0
Pantone;5783C;71;-6;16;173;178;145;#ADB291
Pantone;5787C;78;-6;21;193;196;154;#C1C49A
Pantone;579C;83;-11;20;197;213;169;#C5D5A9
Pantone;5793C;78;-5;12;189;194;169;#BDC2A9
Pantone;5797C;83;-5;15;206;209;179;#CED1B3
Pantone;580C;86;-9;15;207;221;187;#CFDDBB
Pantone;5803C;84;-4;9;206;210;191;#CED2BF
Pantone;5807C;87;-4;11;217;220;197;#D9DCC5
Pantone;581C;38;-4;39;96;90;18;#605A12
Pantone;5815C;29;-2;28;75;69;22;#4B4516
Pantone;582C;55;-9;60;136;134;0;#888600
Pantone;5825C;49;-4;39;125;118;47;#7D762F
Pantone;583C;71;-16;75;171;180;0;#ABB400
Pantone;5835C;62;-5;36;157;151;84;#9D9754
Pantone;584C;82;-15;63;203;211;76;#CBD34C
Pantone;5845C;68;-5;32;173;168;107;#ADA86B
Pantone;585C;85;-12;52;216;219;111;#D8DB6F
Pantone;5855C;78;-4;23;199;195;151;#C7C397
Pantone;586C;88;-11;42;221;225;138;#DDE18A
Pantone;5865C;83;-3;18;211;207;172;#D3CFAC
Pantone;587C;89;-9;34;226;229;157;#E2E59F
Pantone;5875C;85;-3;15;217;215;185;#D9D7B9
Pantone;600C;92;-5;26;238;235;182;#EEEBB6
Pantone;601C;92;-6;34;238;234;165;#EEEAA5
Pantone;602C;91;-7;45;238;232;141;#EEE88D
Pantone;603C;89;-8;64;237;226;94;#EDE25E
Pantone;604C;87;-8;82;234;219;27;#EADB1B
Pantone;605C;81;-5;99;224;202;0;#E0CA00
Pantone;606C;77;-2;98;216;189;0;#D8BD00
Pantone;607C;92;-4;19;235;233;195;#EBE9C3
Pantone;608C;91;-5;25;223;230;180;#E9E6B4
Pantone;609C;89;-6;36;231;226;154;#E7E29A
Pantone;610C;86;-7;51;226;217;115;#E2D973
Pantone;611C;81;-7;65;216;204;70;#D8CC46
Pantone;612C;73;-5;78;196;179;0;#C4B300
Pantone;613C;65;-2;77;179;157;0;#B39D00
Pantone;614C;89;-3;16;227;225;193;#E3E1C1
Pantone;615C;87;-4;21;221;219;177;#DDDBB1
Pantone;616C;84;-4;27;215;210;157;#D7D29D
Pantone;617C;78;-5;35;201;195;127;#C9C37F
Pantone;618C;69;-4;46;180;168;81;#B4A851
Pantone;619C;59;-3;52;156;142;42;#9C8E2A
Pantone;620C;51;-1;52;136;120;17;#887811
Pantone;621C;88;-5;0;210;223;220;#D2DFDC
Pantone;622C;82;-8;0;189;210;204;#BDD2CC
Pantone;623C;74;-12;1;158;188;179;#9EBCB3
Pantone;624C;63;-16;1;120;160;149;#78A095
Pantone;625C;51;-20;2;81;130;116;#518274
Pantone;626C;33;-22;3;31;86;71;#1F5647
Pantone;627C;15;-17;2;3;45;35;#032D23
Pantone;628C;88;-8;-6;200;226;232;#C8E2E8
Pantone;629C;84;-14;-11;170;218;229;#AADAE5
Pantone;630C;77;-20;-17;130;203;221;#82CBDD
Pantone;631C;69;-27;-23;72;184;210;#48B8D2
Pantone;632C;58;-34;-30;0;158;192;#009EC0
Pantone;633C;45;-37;-35;0;124;164;#007CA4
Pantone;634C;34;-33;-36;0;98;140;#00628C
Pantone;635C;85;-14;-12;173;221;235;#ADDDEB
Pantone;636C;81;-19;-18;141;212;233;#8DD4E9
Pantone;637C;75;-26;-25;91;200;231;#5BC8E7
Pantone;638C;66;-34;-35;0;178;222;#00B2DE
Pantone;639C;56;-38;-42;0;154;207;#009ACF
Pantone;640C;48;-37;-47;0;133;194;#0085C2
Pantone;641C;41;-32;-50;0;112;178;#0070B2
Pantone;642C;86;-2;-8;206;217;231;#CED9E7
Pantone;643C;84;-2;-10;197;210;227;#C5D2E3
Pantone;644C;71;-4;-19;151;177;208;#97B1D0
Pantone;645C;61;-5;-25;116;152;192;#7498C0
Pantone;646C;52;-5;-29;87;129;174;#5781AE
Pantone;647C;35;-5;-36;17;86;140;#11568C
Pantone;648C;17;1;-37;0;43;95;#002B5F
Pantone;649C;87;-1;-7;212;220;232;#D4DCE8
Pantone;650C;82;-1;-11;194;205;224;#C2CDE0
Pantone;651C;70;-2;-19;153;174;206;#99AECE
Pantone;652C;58;-2;-27;111;141;185;#6F8DB9
Pantone;653C;36;0;-37;42;86;143;#2A568F
Pantone;654C;20;3;-37;0;48;102;#003066
Pantone;655C;13;5;-34;0;34;82;#002252
Pantone;656C;88;-1;-9;212;221;237;#D4DDED
Pantone;657C;83;-2;-15;191;208;234;#BFD0EA
Pantone;658C;75;-2;-24;161;187;228;#A1BBE4
Pantone;659C;61;-1;-37;110;150;213;#6E96D5
Pantone;660C;45;2;-51;41;109;193;#296DC1
Pantone;661C;24;15;-60;0;53;150;#003596
Pantone;662C;16;21;-59;0;34;128;#002280
Pantone;663C;87;4;-6;222;216;230;#DED8E6
Pantone;664C;84;5;-7;215;208;224;#D7D0E0
Pantone;665C;77;7;-11;197;187;211;#C5BBD3
Pantone;666C;63;12;-17;163;146;183;#A392B7
Pantone;667C;46;17;-23;124;100;149;#7C6495
Pantone;668C;36;19;-26;98;74;126;#624A7E
Pantone;669C;23;20;-27;67;44;95;#432C5F
Pantone;670C;87;10;-5;234;212;228;#EAD4E4
Pantone;671C;82;17;-8;230;193;219;#E6C1DB
Pantone;672C;75;27;-12;225;167;207;#E1A7CF
Pantone;673C;67;37;-14;218;137;190;#DA89BE
Pantone;674C;57;49;-15;206;98;164;#CE62A4
Pantone;675C;43;60;-10;182;42;121;#B62A79
Pantone;676C;35;61;-2;163;0;89;#A30059
Pantone;677C;86;9;-4;229;209;223;#E5D1DF
Pantone;678C;84;11;-5;226;201;218;#E2C9DA
Pantone;679C;80;15;-7;222;189;212;#DEBDD4
Pantone;680C;68;24;-9;203;151;183;#CB97B7
Pantone;681C;57;32;-11;184;116;158;#B8749E
Pantone;682C;43;40;-10;156;72;120;#9C4878
Pantone;683C;30;42;-5;124;34;80;#7C2250
Pantone;684C;84;12;-4;229;202;217;#E5CAD9
Pantone;685C;80;16;-5;225;188;208;#E1BCD0
Pantone;686C;76;20;-6;219;174;198;#DBAEC6
Pantone;687C;64;29;-8;198;134;169;#C686A9
Pantone;688C;55;34;-9;180;107;147;#B46B93
Pantone;689C;40;40;-9;149;64;111;#95416F
Pantone;690C;27;36;-5;109;35;72;#6D2348
Pantone;691C;85;10;1;231;205;210;#E7CDD2
Pantone;692C;81;13;1;226;193;200;#E2C1C8
Pantone;693C;73;20;2;217;167;177;#D9A7B1
Pantone;694C;66;24;3;202;144;156;#CA909C
Pantone;695C;53;31;5;176;104;118;#B06876
Pantone;696C;40;35;8;148;69;84;#944554
Pantone;697C;33;35;12;129;51;61;#81333D
Pantone;698C;86;12;0;237;207;215;#EDCFD7
Pantone;699C;83;18;1;240;194;205;#F0C2CD
Pantone;700C;76;27;2;236;169;185;#ECA9B9
Pantone;701C;69;36;4;229;141;162;#E58DA2
Pantone;702C;57;47;9;213;100;124;#D5647C
Pantone;703C;45;53;19;186;57;78;#BA394E
Pantone;704C;37;51;27;162;38;48;#A22630
Pantone;705C;88;11;0;242;214;222;#F2D6DE
Pantone;706C;85;18;0;245;199;212;#F5C7D4
Pantone;707C;79;28;2;245;176;193;#F5B0C1
Pantone;708C;71;41;6;245;144;166;#F590A6
Pantone;709C;62;55;13;239;103;130;#EF6782
Pantone;710C;55;63;22;229;70;97;#E54661
Pantone;711C;47;65;36;211;41;57;#D32939
Pantone;712C;86;13;22;250;205;174;#FACDAE
Pantone;713C;83;17;29;251;195;153;#FBC399
Pantone;714C;79;24;40;253;177;121;#FDB179
Pantone;715C;72;34;55;249;150;74;#F9964A
Pantone;716C;65;42;70;241;124;14;#F17C0E
Pantone;717C;57;47;76;222;97;0;#DE6100
Pantone;718C;52;48;74;207;82;0;#CF5200
Pantone;719C;85;9;16;239;207;184;#EFCFB8
Pantone;720C;82;12;21;236;195;165;#ECC3A5
Pantone;721C;76;17;29;229;174;134;#E5AE86
Pantone;722C;66;23;40;213;143;89;#D58F59
Pantone;723C;56;28;49;192;114;47;#C0722F
Pantone;724C;42;31;53;154;75;0;#9A4B00
Pantone;725C;35;30;46;132;59;0;#843B00
Pantone;726C;85;7;13;232;206;187;#E8CEBB
Pantone;727C;80;10;18;225;190;164;#E1BEA4
Pantone;728C;73;13;24;213;170;136;#D5AA88
Pantone;729C;64;17;31;195;142;99;#C38E63
Pantone;730C;53;21;38;172;112;61;#AC703D
Pantone;731C;34;23;39;121;63;13;#793F0D
Pantone;732C;27;22;33;100;48;10;#64300A
Pantone;801C;61;-39;-40;0;167;216;#00A7D8
Pantone;802C;79;-58;60;91;221;69;#5BDD45
Pantone;803C;93;-2;-90;225;232;5;#FFE805
Pantone;804C;82;50;71;255;162;67;#FFA243
Pantone;805C;69;77;44;255;88;94;#FF585E
Pantone;806C;59;86;-15;255;28;172;#FF1CAC
Pantone;807C;49;78;-34;215;8;178;#D708B2
Pantone;808C;61;-61;-3;0;174;151;#00AE97
Pantone;809C;88;-16;88;225;228;0;#E1E400
Pantone;810C;88;19;88;225;206;9;#FFCE09
Pantone;811C;74;67;57;255;119;80;#FF7750
Pantone;812C;62;82;12;255;52;133;#FF3485
Pantone;813C;53;81;-26;234;18;175;#EA12AF
Pantone;814C;48;32;-54;126;96;206;#7E60CE
autocad;0;;;;;;;#000000
autocad;1;;;;;;;#ff0000
autocad;2;;;;;;;#ffff00
autocad;3;;;;;;;#00ff00
autocad;4;;;;;;;#00ffff
autocad;5;;;;;;;#0000ff
autocad;6;;;;;;;#ff00ff
autocad;7;;;;;;;#ffffff
autocad;8;;;;;;;#414141
autocad;9;;;;;;;#808080
autocad;10;;;;;;;#ff0000
autocad;11;;;;;;;#ffaaaa
autocad;12;;;;;;;#bd0000
autocad;13;;;;;;;#bd7e7e
autocad;14;;;;;;;#810000
autocad;15;;;;;;;#815656
autocad;16;;;;;;;#680000
autocad;17;;;;;;;#684545
autocad;18;;;;;;;#4f0000
autocad;19;;;;;;;#4f3535
autocad;20;;;;;;;#ff3f00
autocad;21;;;;;;;#ffbfaa
autocad;22;;;;;;;#bd2e00
autocad;23;;;;;;;#bd8d7e
autocad;24;;;;;;;#811f00
autocad;25;;;;;;;#816056
autocad;26;;;;;;;#681900
autocad;27;;;;;;;#684e45
autocad;28;;;;;;;#4f1300
autocad;29;;;;;;;#4f3b35
autocad;30;;;;;;;#ff7f00
autocad;31;;;;;;;#ffd4aa
autocad;32;;;;;;;#bd5e00
autocad;33;;;;;;;#bd9d7e
autocad;34;;;;;;;#814000
autocad;35;;;;;;;#816b56
autocad;36;;;;;;;#683400
autocad;37;;;;;;;#685645
autocad;38;;;;;;;#4f2700
autocad;39;;;;;;;#4f4235
autocad;40;;;;;;;#ffbf00
autocad;41;;;;;;;#ffeaaa
autocad;42;;;;;;;#bd8d00
autocad;43;;;;;;;#bdad7e
autocad;44;;;;;;;#816000
autocad;45;;;;;;;#817656
autocad;46;;;;;;;#684e00
autocad;47;;;;;;;#685f45
autocad;48;;;;;;;#4f3b00
autocad;49;;;;;;;#4f4935
autocad;50;;;;;;;#ffff00
autocad;51;;;;;;;#ffffaa
autocad;52;;;;;;;#bdbd00
autocad;53;;;;;;;#bdbd7e
autocad;54;;;;;;;#818100
autocad;55;;;;;;;#818156
autocad;56;;;;;;;#686800
autocad;57;;;;;;;#686845
autocad;58;;;;;;;#4f4f00
autocad;59;;;;;;;#4f4f35
autocad;60;;;;;;;#bfff00
autocad;61;;;;;;;#eaffaa
autocad;62;;;;;;;#8dbd00
autocad;63;;;;;;;#adbd7e
autocad;64;;;;;;;#608100
autocad;65;;;;;;;#768156
autocad;66;;;;;;;#4e6800
autocad;67;;;;;;;#5f6845
autocad;68;;;;;;;#3b4f00
autocad;69;;;;;;;#494f35
autocad;70;;;;;;;#7fff00
autocad;71;;;;;;;#d4ffaa
autocad;72;;;;;;;#5ebd00
autocad;73;;;;;;;#9dbd7e
autocad;74;;;;;;;#408100
autocad;75;;;;;;;#6b8156
autocad;76;;;;;;;#346800
autocad;77;;;;;;;#566845
autocad;78;;;;;;;#274f00
autocad;79;;;;;;;#424f35
autocad;80;;;;;;;#3fff00
autocad;81;;;;;;;#bfffaa
autocad;82;;;;;;;#2ebd00
autocad;83;;;;;;;#8dbd7e
autocad;84;;;;;;;#1f8100
autocad;85;;;;;;;#608156
autocad;86;;;;;;;#196800
autocad;87;;;;;;;#4e6845
autocad;88;;;;;;;#134f00
autocad;89;;;;;;;#3b4f35
autocad;90;;;;;;;#00ff00
autocad;91;;;;;;;#aaffaa
autocad;92;;;;;;;#00bd00
autocad;93;;;;;;;#7ebd7e
autocad;94;;;;;;;#008100
autocad;95;;;;;;;#568156
autocad;96;;;;;;;#006800
autocad;97;;;;;;;#456845
autocad;98;;;;;;;#004f00
autocad;99;;;;;;;#354f35
autocad;100;;;;;;;#00ff3f
autocad;101;;;;;;;#aaffbf
autocad;102;;;;;;;#00bd2e
autocad;103;;;;;;;#7ebd8d
autocad;104;;;;;;;#00811f
autocad;105;;;;;;;#568160
autocad;106;;;;;;;#006819
autocad;107;;;;;;;#45684e
autocad;108;;;;;;;#004f13
autocad;109;;;;;;;#354f3b
autocad;110;;;;;;;#00ff7f
autocad;111;;;;;;;#aaffd4
autocad;112;;;;;;;#00bd5e
autocad;113;;;;;;;#7ebd9d
autocad;114;;;;;;;#008140
autocad;115;;;;;;;#56816b
autocad;116;;;;;;;#006834
autocad;117;;;;;;;#456856
autocad;118;;;;;;;#004f27
autocad;119;;;;;;;#354f42
autocad;120;;;;;;;#00ffbf
autocad;121;;;;;;;#aaffea
autocad;122;;;;;;;#00bd8d
autocad;123;;;;;;;#7ebdad
autocad;124;;;;;;;#008160
autocad;125;;;;;;;#568176
autocad;126;;;;;;;#00684e
autocad;127;;;;;;;#45685f
autocad;128;;;;;;;#004f3b
autocad;129;;;;;;;#354f49
autocad;130;;;;;;;#00ffff
autocad;131;;;;;;;#aaffff
autocad;132;;;;;;;#00bdbd
autocad;133;;;;;;;#7ebdbd
autocad;134;;;;;;;#008181
autocad;135;;;;;;;#568181
autocad;136;;;;;;;#006868
autocad;137;;;;;;;#456868
autocad;138;;;;;;;#004f4f
autocad;139;;;;;;;#354f4f
autocad;140;;;;;;;#00bfff
autocad;141;;;;;;;#aaeaff
autocad;142;;;;;;;#008dbd
autocad;143;;;;;;;#7eadbd
autocad;144;;;;;;;#006081
autocad;145;;;;;;;#567681
autocad;146;;;;;;;#004e68
autocad;147;;;;;;;#455f68
autocad;148;;;;;;;#003b4f
autocad;149;;;;;;;#35494f
autocad;150;;;;;;;#007fff
autocad;151;;;;;;;#aad4ff
autocad;152;;;;;;;#005ebd
autocad;153;;;;;;;#7e9dbd
autocad;154;;;;;;;#004081
autocad;155;;;;;;;#566b81
autocad;156;;;;;;;#003468
autocad;157;;;;;;;#455668
autocad;158;;;;;;;#00274f
autocad;159;;;;;;;#35424f
autocad;160;;;;;;;#003fff
autocad;161;;;;;;;#aabfff
